"","S1_Sabit","S2_Sabit","S3_Sabit","S4_Sabit","S1_Paz0","S1_Paz2","S2_Paz0","S2_Paz2","S3_Paz0","S3_Paz2","S4_Paz0","S4_Paz2","TitForTat_Std","TitForTat_Agg","TitForTat_Prm","Forgiving_TfT","Seasonal","Adaptive","SatAware","GrimTrigger","Alternating","Endgame"
"S1_Sabit",4303778.91351785,1376048.08788313,5429896.82606986,6408017.52622465,4430824.97964502,4089772.68802318,1498987.60124791,1197221.15583384,5553898.4310614,5225765.83189012,6443883.00074904,6349682.85151085,1382059.19585482,3999581.98360738,1423196.71155671,1383860.34392132,1423139.82168045,1419126.79502845,1424385.58956805,1381811.99713388,3570666.68809892,4880897.23067782
"S2_Sabit",11783742.8073176,8624545.50532856,12085209.7772876,12594712.6457085,11866554.3144546,11635451.3925569,8864492.42704913,8275657.69572742,12202640.5603369,12019886.0325677,12645516.3165404,12451552.6098591,8430361.17210293,11588823.1708607,8446552.37020493,8761542.34657605,8448652.05486009,8443109.72998859,8456608.56432594,8415667.90584422,10557072.2723128,11389579.4632875
"S3_Sabit",8196164.87830227,3040806.38614863,10724227.7344512,14641994.0345726,8477379.84901552,7740914.4181021,3263652.10994943,2701755.7567901,11014041.450482,10305831.022782,14734805.2631965,14471494.7623138,10721895.0361141,3048112.18050504,14613875.5465463,10734827.0519441,10414418.5508117,10439467.4288986,10466534.7494613,10731888.2654073,7179485.26093569,9703015.19762454
"S4_Sabit",5091690.39848338,1932627.24956477,7340471.94577383,17816269.4293113,5470075.61827269,4618030.20056919,2213425.3568391,1556289.90751817,7752540.48933062,6804796.10563413,18260273.3363902,17170424.3341801,7349249.18398413,1932094.97549275,17808927.9257852,7357308.18962044,8888486.73450994,17355562.9956591,17423133.6487957,7346225.92171261,4979185.42433923,6617110.73022642
"S1_Paz0",4588773.5545523,1616757.65350992,5739357.15710091,6802605.00059177,4736946.50930804,4378518.72507771,1745605.19826878,1433190.9323692,5884383.70391637,5524712.47580657,6851733.90642576,6748292.43048792,1621929.35821775,4262069.66549489,1671187.34614433,1629220.84950534,1664607.91971333,1668202.38980008,1666472.78442578,1623521.26623583,3838236.50491523,5169556.74621324
"S1_Paz2",3930475.32287633,1085662.98203281,5003115.7363028,5873153.19669629,4068343.71062691,3725674.96355886,1214598.13250137,897579.668410638,5087717.38911543,4814283.08181937,5907923.2861538,5795137.7669124,1087214.16501625,3624141.45827784,1114878.03313341,1090661.61297068,1120044.09497086,1121461.89973593,1117142.18655402,1088541.32633867,3216677.30622744,4460636.62056315
"S2_Paz0",12152945.9232427,8820088.71453607,12524268.3470891,12978612.462851,12243177.5062987,12003534.5527607,9055550.17533315,8479256.77404227,12578191.9777396,12390973.9217893,13061279.2291011,12840101.4381646,8631854.4361937,11942968.0616744,8657598.94733694,8950818.12428652,8643596.42524933,8647386.94870339,8649925.68079821,8647855.58383297,10880287.9491053,11782977.2584618
"S2_Paz2",11290313.8183291,8391979.03679396,11612990.1345911,12064302.4628541,11377843.5364707,11156529.9908889,8653846.94526123,8058746.34309741,11688875.9499956,11514218.1268724,12081509.1724489,11947593.1820939,8181693.60992053,11132120.059721,8183218.18452465,8547337.72427179,8179402.73031897,8190491.73146596,8163730.25186175,8186787.03089152,10142736.4774111,10917408.3232999
"S3_Paz0",8287765.82696044,3073433.48310386,10844988.1620896,14998094.1136548,8589792.94972365,7831669.89608088,3317055.29515265,2748994.71669969,11168524.61121,10440154.1326135,15089697.1521109,14854977.3794904,10858392.2599854,3089382.02496469,14978807.4742698,10873260.1783894,10611065.2184479,10705274.4435141,10677599.715804,10865370.5479819,7282085.05691744,9825412.23129788
"S3_Paz2",8110202.34454571,3024232.18772519,10558601.0092373,14150469.9895477,8434877.59340081,7701173.83688413,3259105.74074031,2703566.4029898,10829019.8118932,10143122.7936316,14263074.2935134,13996719.0085079,10555222.2201734,3017954.3788622,14153037.1235183,10559129.0662136,10074810.4556738,10062705.5288921,10088017.2193346,10550480.2345874,7110916.84724231,9535536.79736048
