"strategy","average_npv","rank"
"Forgiving_TfT",10870612.393394,1
"GrimTrigger",10831495.8486344,2
"TitForTat_Std",10719409.9449563,3
"S2_Paz0",10661965.9290269,4
"TitForTat_Prm",10579782.2220926,5
"Adaptive",10486777.6672569,6
"SatAware",10449726.0325563,7
"Seasonal",10388205.7032225,8
"S2_Sabit",10363087.7788681,9
"S2_Paz2",9984712.49197201,10
"Endgame",9650624.29884426,11
"S3_Paz0",9591445.31229376,12
"S3_Sabit",9425753.95156159,13
"S3_Paz2",9221907.94929433,14
"S4_Paz2",8988822.80448541,15
"Alternating",8956004.4921844,16
"S4_Sabit",8776554.55009059,17
"S4_Paz0",8660150.10625981,18
"TitForTat_Agg",5634335.41688419,19
"S1_Paz0",3675721.91264005,20
"S1_Sabit",3390750.19321748,21
"S1_Paz2",3020230.17912706,22
