"simulation","final_npv_A","final_npv_B","total_profit_A","total_profit_B","avg_satisfaction_A","avg_satisfaction_B","avg_market_share_A","avg_market_share_B","n_shocks_A","n_shocks_B","winner"
1,10762289.9582415,9504216.74101357,13512000,12390000,96.25,44.4330015241449,0.526067773600668,0.473932226399332,0,0,"A"
2,10668714.4843418,9557050.23602192,13398000,12456000,96.25,40.227831294809,0.523013262322473,0.476986737677527,0,3,"A"
3,10652842.228438,9577732.41486739,13374000,12486000,96.25,42.6194110741908,0.520836966675818,0.479163033324182,0,4,"A"
4,10825443.1041159,9446489.19369839,13608000,12300000,96.25,45.4814404589475,0.529308645963721,0.470691354036279,5,1,"A"
5,10836201.9307075,9441542.26891392,13602000,12318000,96.1289128912891,48.5307976673956,0.528380530436452,0.471619469563548,3,0,"A"
6,10909633.2931492,9168089.51357199,13680000,12018000,95.302732044858,90.5511298552536,0.524871510068878,0.475128489931122,5,3,"A"
7,10818789.7564297,9563417.60656963,13608000,12456000,96.1115883241868,39.2866008081239,0.523893600133631,0.476106399866369,2,1,"A"
8,10616118.708016,9627051.22488606,13308000,12570000,92.3771659774673,42.8145442238694,0.517443776018002,0.482556223981998,1,7,"A"
9,10811841.9490755,9413167.98049821,13584000,12270000,96.2186630080331,45.0055451421431,0.529086027756202,0.470913972243798,8,5,"A"
10,10880606.4063496,9124009.30167426,13686000,11856000,96.0202976990612,50.3912200732726,0.530912023649044,0.469087976350956,5,5,"A"
11,10685092.4991835,9498480.33743492,13416000,12396000,96.25,36.2180848080774,0.523314285855404,0.476685714144596,0,3,"A"
12,10805432.888496,9474761.65174698,13578000,12342000,96.25,44.8402558859447,0.528803524691683,0.471196475308317,3,0,"A"
13,10696290.2176113,9251893.32295357,13416000,12096000,96.25,74.9848863518029,0.523425751879699,0.476574248120301,0,5,"A"
14,10534794.4710779,9690238.13736521,13230000,12624000,96.25,32.9014578118389,0.517769884711754,0.482230115288246,0,7,"A"
15,10790408.4247322,9490635.3213417,13512000,12420000,93.1676297379824,79.6596991470469,0.524452786315451,0.475547213684549,2,1,"A"
16,10762289.9582415,9448304.66016286,13512000,12306000,96.25,38.6515099687753,0.526067773600668,0.473932226399332,0,2,"A"
17,10988799.0004026,9399482.90446001,13830000,12246000,95.7419304922618,48.8620648850265,0.530845210224322,0.469154789775678,7,0,"A"
18,10762289.9582415,9504216.74101357,13512000,12390000,96.25,44.4330015241449,0.526067773600668,0.473932226399332,2,0,"A"
19,10692950.4389026,9665864.65435077,13416000,12600000,95.0956595659566,41.7544612305298,0.523096345875951,0.476903654124049,1,6,"A"
20,10713688.2268433,9553192.26396378,13440000,12468000,92.3771659774673,43.7902099722625,0.522458937261569,0.477541062738431,1,3,"A"
21,10594416.9294196,9504216.74101357,13296000,12390000,96.25,44.4330015241449,0.526067773600668,0.473932226399332,3,0,"A"
22,10849715.9049144,9452252.79557653,13620000,12330000,96.1222622262226,47.8191355920972,0.528570981284797,0.471429018715203,4,2,"A"
23,10762289.9582415,9504216.74101357,13512000,12390000,96.25,44.4330015241449,0.526067773600668,0.473932226399332,0,2,"A"
24,10753722.1323016,9299439.77773619,13500000,12132000,96.25,52.8744615792413,0.525186664578112,0.474813335421888,2,3,"A"
25,10392158.6706334,9543562.97107067,13026000,12414000,96.25,37.8084879077992,0.526195089003477,0.473804910996523,5,4,"A"
26,10699684.6271634,9549009.7250002,13446000,12432000,96.25,37.2549203673526,0.525290184871214,0.474709815128786,6,6,"A"
27,10823410.2250063,9456931.60146485,13578000,12342000,96.25,46.4417251237776,0.528705943179627,0.471294056820373,3,2,"A"
28,10586764.6356914,9233440.48031223,13296000,12042000,95.393033397828,56.4447166131796,0.527641939566282,0.472358060433718,7,3,"A"
29,10762289.9582415,9504216.74101357,13512000,12390000,96.25,44.4330015241449,0.526067773600668,0.473932226399332,1,0,"A"
