"simulation","final_npv_A","final_npv_B","total_profit_A","total_profit_B","avg_satisfaction_A","avg_satisfaction_B","avg_market_share_A","avg_market_share_B","n_shocks_A","n_shocks_B","winner"
1,8655103.5447807,7429496.60736069,10855000,9708000,96.25,70.3077163386442,0.526569674842701,0.473430325157299,5,3,"A"
2,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,2,"A"
3,8424568.44074121,7663600.99580076,10560000,10033000,93.1676297379824,87.9152868895137,0.524378381553546,0.475621618446454,5,2,"A"
4,8675759.30683566,7653067.07625235,10885000,9978000,96.2196174341844,48.0372255829144,0.525498504436336,0.474501495563664,4,2,"A"
5,8583143.74231519,7712241.12376528,10780000,10043000,96.1289128912891,43.5739884939581,0.522777112004086,0.477222887995914,4,6,"A"
6,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,0,"A"
7,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,0,"A"
8,8621002.82854716,7718641.66123715,10810000,10073000,96.25,45.098749917166,0.522838181555287,0.477161818444713,0,5,"A"
9,8610240.10538814,7645770.3296457,10805000,9953000,96.25,43.2736810466426,0.525398254145339,0.474601745854661,1,4,"A"
10,8685050.79322694,7618761.68295614,10905000,9908000,96.25,45.6497141044939,0.528338291365723,0.471661708634277,1,1,"A"
11,8656519.98604267,7694621.20385625,10880000,10008000,96.2107094567724,43.112983158672,0.526248315927592,0.473751684072408,2,4,"A"
12,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,3,1,"A"
13,8717873.40154712,7696500.13329319,10950000,10038000,96.2107094567724,45.1905772817207,0.528580477799228,0.471419522200772,6,2,"A"
14,8184693.25625047,7688584.57796475,10245000,10043000,96.2266165592937,48.3287774653754,0.522016267400567,0.477983732599433,8,5,"A"
15,8750339.39309125,7747064.43957127,11010000,10108000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,2,2,"A"
16,8661504.27137895,7645971.42436011,10870000,9918000,96.25,46.0569684662937,0.525924185463659,0.474075814536341,0,5,"A"
17,8745538.00213218,7601102.22526165,10985000,9898000,95.080229676511,47.7043513864039,0.531065800022562,0.468934199977438,9,0,"A"
18,8492264.07104282,7517611.1083472,10605000,9753000,96.25,45.8733137371844,0.525924185463659,0.474075814536341,3,5,"A"
19,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,0,"A"
20,8437671.4315052,7586897.92446782,10650000,9903000,96.2345701105544,49.8278591917299,0.530882579505112,0.469117420494888,8,2,"A"
21,8684436.73321883,7653656.79329831,10905000,9968000,96.25,45.6497141044939,0.528341718971937,0.471658281028063,1,0,"A"
22,8626404.22694038,7675875.1776559,10790000,10053000,95.42523661815,86.5576642715818,0.522692837868684,0.477307162131316,3,1,"A"
23,8502900.07477234,7608411.9807818,10590000,9973000,93.1676297379824,90.2778558783713,0.527071717511685,0.472928282488315,7,0,"A"
24,8413049.35593472,7454206.23907319,10515000,9673000,96.25,53.0930107068814,0.52563048245614,0.47436951754386,3,4,"A"
25,8661504.27137895,7620645.96121072,10870000,9923000,96.25,45.4660593753846,0.525924185463659,0.474075814536341,0,1,"A"
26,8594287.66894551,7706345.62257635,10800000,10033000,96.25,42.8375010650081,0.524092072815152,0.475907927184848,0,3,"A"
27,8556566.29850688,7606400.97140755,10710000,9923000,96.25,39.0025252525253,0.526602965747703,0.473397034252297,3,1,"A"
28,8556983.39568802,7469633.42997082,10735000,9753000,94.7445744574457,69.8201390663902,0.521712325809052,0.478287674190948,3,8,"A"
29,8730750.86418734,7617110.88780633,10940000,9953000,96.25,53.8740616095349,0.527612748439229,0.472387251560771,2,0,"A"
30,8701464.93888287,7685093.97874404,10925000,10023000,95.9534429820935,44.8003109823635,0.528678832132779,0.471321167867221,6,2,"A"
31,8631202.99097533,7674208.81849866,10870000,9968000,96.25,37.6285737088058,0.526550602002905,0.473449397997095,2,3,"A"
32,8709223.6525561,7714098.3379552,10940000,10038000,96.2186630080331,47.1414496416839,0.528336577562616,0.471663422437385,1,2,"A"
33,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,2,"A"
34,8523132.03319171,7778104.63321048,10705000,10128000,96.25,39.3480612119319,0.521381133030468,0.478618866969532,0,4,"A"
35,8590105.72187969,7553130.33584806,10770000,9833000,95.8878137813781,46.9502191549989,0.52279144158256,0.47720855841744,4,5,"A"
36,8630223.39105213,7709382.76523735,10820000,10063000,96.25,45.6497141044939,0.522930796162704,0.477069203837296,0,2,"A"
37,8692419.86829001,7648412.62329578,10910000,9968000,96.25,45.6497141044939,0.528595295248256,0.471404704751744,2,0,"A"
38,8606134.62282048,7530460.24850065,10810000,9838000,96.25,56.7868232465234,0.524045306282148,0.475954693717852,2,4,"A"
39,8759081.26034196,7600376.60321855,10995000,9908000,96.2186630080331,50.5546727821798,0.530751563043245,0.469248436956755,3,0,"A"
40,8760311.0988278,7677878.08609151,1.1e+07,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,2,0,"A"
41,8692831.04572893,7647947.0689836,10910000,9968000,96.25,45.6497141044939,0.528597412026688,0.471402587973312,4,0,"A"
42,8736331.85812186,7621171.57101234,10955000,9948000,96.25,55.765243815853,0.529505514200869,0.470494485799131,3,4,"A"
43,8661504.27137895,7652490.46867298,10870000,9968000,96.25,44.7314404589475,0.525924185463659,0.474075814536341,0,2,"A"
44,8650169.9171861,7728116.37444455,10870000,10073000,96.1677917791779,43.6852972082588,0.526394939964829,0.473605060035171,3,3,"A"
45,8457834.16217758,7679637.34303757,10640000,10008000,96.25,45.2938830668446,0.523896170838292,0.476103829161708,5,2,"A"
46,8628075.17815714,7718235.08303653,10825000,10068000,96.25,46.7048105232266,0.523373430129987,0.476626569870013,5,5,"A"
47,8570810.38279856,7677878.08609151,10725000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,4,2,"A"
48,8633964.00203968,7704273.00253256,10835000,10043000,96.25,45.6497141044939,0.523759009462935,0.476240990537065,0,2,"A"
49,8521486.84544054,7788161.56589064,10705000,10138000,96.25,36.1022835271438,0.519965049570313,0.480034950429687,0,7,"A"
50,8661504.27137895,7677878.08609151,10870000,10008000,96.227797779778,45.6497141044939,0.525924185463659,0.474075814536341,1,0,"A"
51,8720134.02325537,7617349.89730706,10910000,9973000,95.1866300803309,86.293033427054,0.527468375330217,0.472531624669783,4,0,"A"
52,8608231.06133623,7568947.18559572,10810000,9843000,96.25,45.4456277867712,0.523815279331626,0.476184720668374,0,4,"A"
53,8826329.25518028,7298051.88606316,11070000,9583000,96.1718961266205,91.8475216078309,0.527468375330217,0.472531624669783,7,4,"A"
54,8366039.44645553,7715977.15235162,10505000,10073000,96.25,45.236490963998,0.523786430312652,0.476213569687347,5,1,"A"
55,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,0,"A"
56,8631986.40174505,7705769.54272996,10830000,10048000,96.25,45.6497141044939,0.523767578478472,0.476232421521528,0,2,"A"
57,8304580.97728137,7733138.05059006,10450000,10068000,96.25,42.171752671987,0.523019560848508,0.476980439151492,8,4,"A"
58,8661504.27137895,7635937.87748276,10870000,9953000,96.25,50.7973265930154,0.525819757727652,0.474180242272348,0,7,"A"
59,8879090.23495244,7602572.97509228,11175000,9903000,95.8591028394178,47.0845166756601,0.528511419136419,0.471488580863581,8,5,"A"
60,8692624.09887608,7651893.72259372,10910000,9973000,96.25,45.6497141044939,0.528319439531542,0.471680560468458,3,2,"A"
61,8634325.47996548,7703862.44958929,10835000,10043000,96.25,45.6497141044939,0.523760723266043,0.476239276733957,2,1,"A"
62,8663689.69612701,7753929.86697003,10855000,10128000,96.25,43.6680795774048,0.525526167281924,0.474473832718076,2,5,"A"
63,8726134.30354798,7364016.3017878,10925000,9648000,93.2870713295225,89.9430386337603,0.526881013549828,0.473118986450172,3,3,"A"
64,8612553.04992765,7704074.28998528,10800000,10048000,96.25,44.7314404589475,0.523774433690901,0.476225566309099,0,3,"A"
65,8591678.98945043,7649631.48884755,10755000,9973000,96.25,47.4738647013717,0.528524426961927,0.471475573038073,6,2,"A"
66,8703796.09646477,7653332.17836934,10935000,9968000,96.25,46.0569684662937,0.528661305799464,0.471338694200536,3,2,"A"
67,8718183.74511664,7642950.79645289,10945000,9963000,96.25,47.4738647013717,0.528159698800246,0.471840301199754,1,0,"A"
68,8617238.15582025,7788714.61443489,10805000,10143000,96.25,41.999576363447,0.524125920426522,0.475874079573478,0,3,"A"
69,8636784.04342346,7677878.08609151,10780000,10008000,95.9062276306371,45.6497141044939,0.525924185463659,0.474075814536341,5,2,"A"
70,8320675.30163667,7677878.08609151,10520000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,5,0,"A"
71,8484656.24201866,7747152.19886158,10665000,10083000,96.25,28.1428787297602,0.518117555946503,0.481882444053497,0,11,"A"
72,8706048.63703111,7636606.26702172,10920000,9963000,96.25,57.2744265523085,0.527695644439614,0.472304355560386,5,1,"A"
73,8746656.00212332,7586772.78285231,10980000,9888000,96.2196174341844,49.552377098066,0.530021833064596,0.469978166935404,5,1,"A"
74,8348660.25136461,7677878.08609151,10540000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,3,0,"A"
75,8657665.74833255,7574431.93259492,10855000,9878000,96.25,43.8590804956784,0.526546800844459,0.473453199155541,3,4,"A"
76,8661504.27137895,7548486.83346401,10870000,9788000,96.25,46.4226709456325,0.525924185463659,0.474075814536341,2,3,"A"
77,8508869.1916386,7791174.78795529,10680000,10158000,96.25,42.9522852707014,0.517935687508011,0.482064312491989,0,6,"A"
78,8661504.27137895,7762571.66431467,10870000,10108000,96.25,45.0872714965967,0.525924185463659,0.474075814536341,1,4,"A"
79,8661504.27137895,7754520.62736522,10870000,10113000,96.25,43.1244615792413,0.525924185463659,0.474075814536341,2,4,"A"
80,8613826.73768019,7758429.23790596,10815000,10103000,96.25,41.5748748023818,0.52301791775476,0.47698208224524,2,5,"A"
81,8788426.60893166,7652885.35384251,11035000,9968000,96.2027559055118,45.6497141044939,0.528338291365723,0.471661708634277,3,2,"A"
82,8657910.76071449,7495997.64198733,10865000,9798000,96.1289128912891,49.4001732413166,0.525519527986633,0.474480472013367,1,3,"A"
83,8614118.82394373,7723458.77583668,10810000,10068000,96.25,45.6497141044939,0.522251502799206,0.477748497200794,0,2,"A"
84,8592058.96489142,7758029.21618533,10770000,10133000,96.25,42.7081872130245,0.522947730390165,0.477052269609835,2,5,"A"
85,8709223.6525561,7638942.71953946,10940000,9948000,96.2186630080331,47.1414496416839,0.528336577562616,0.471663422437385,1,0,"A"
86,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,2,0,"A"
87,8692053.38039194,7717485.42697384,10900000,10068000,96.2266165592937,46.0817618547234,0.526029841425226,0.473970158574774,1,3,"A"
88,8661504.27137895,7737729.43164479,10870000,10103000,96.227797779778,44.7314404589475,0.525924185463659,0.474075814536341,1,2,"A"
89,8728801.41497602,7719877.57417298,10965000,10028000,96.1480354728386,39.7038922495811,0.529203869047619,0.470796130952381,5,2,"A"
90,8705881.15507732,7644443.43858644,10930000,9963000,96.25,47.6618812302973,0.528518311001864,0.471481688998136,3,0,"A"
91,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,5,2,"A"
92,8566138.85850086,7580046.17335446,10765000,9898000,95.4795991410165,58.7831525186258,0.529798256423379,0.470201743576621,7,2,"A"
93,8690147.52270285,7668094.71385541,10910000,10028000,95.0956595659566,44.266268590308,0.526863601044112,0.473136398955888,4,6,"A"
94,8602271.57534746,7700350.27157317,10800000,10033000,96.25,45.2938830668446,0.523119762737361,0.476880237262639,0,2,"A"
95,8661504.27137895,7691443.47318254,10870000,10028000,96.25,45.0872714965967,0.525924185463659,0.474075814536341,2,2,"A"
96,8298676.82649663,7516745.18046944,10390000,9733000,96.25,46.9536626811697,0.5261510776519,0.4738489223481,6,5,"A"
97,8850201.69328485,7715774.89233976,11130000,10078000,96.0573451045892,42.9293284295627,0.525924185463659,0.474075814536341,4,3,"A"
98,8765016.55531429,7585782.61205031,10990000,9903000,96.2266165592937,53.3260226444388,0.52967371531034,0.47032628468966,2,0,"A"
99,8487504.14446874,7635863.15333274,10685000,9958000,96.25,45.6497141044939,0.528310013614452,0.471689986385548,5,0,"A"
100,8746959.61113,7580159.34828867,10990000,9878000,96.1710298982654,40.6901181448979,0.52665821142928,0.47334178857072,4,3,"A"
101,8606256.22565762,7704689.21584281,10805000,10038000,96.227797779778,45.2938830668446,0.523017096207886,0.476982903792114,1,3,"A"
102,8673784.16672803,7672673.51527217,10860000,10033000,95.3728823669769,80.6028442816165,0.524964489999616,0.475035510000384,1,0,"A"
103,8727881.62854526,7688673.26327128,10950000,10058000,95.5841156950341,52.7588182670188,0.524222927240677,0.475777072759323,4,3,"A"
104,8616635.99407286,7775000.11899301,10835000,10118000,96.25,33.7597929815997,0.524783263890031,0.475216736109969,0,3,"A"
105,8679615.82738334,7252192.31467294,10875000,9498000,96.25,76.8631393598591,0.526857928255955,0.473142071744045,3,8,"A"
106,8636479.5671175,7703650.55725629,10830000,10053000,96.25,45.6497141044939,0.523858816621975,0.476141183378025,0,2,"A"
107,8692215.63770395,7721484.24317652,10910000,10073000,96.25,45.6497141044939,0.52832115333465,0.47167884666535,3,2,"A"
108,8513308.09107297,7542532.45155761,10635000,9863000,96.25,46.5335524883322,0.525587088498273,0.474412911501727,5,7,"A"
109,8610238.57767669,7746065.47244237,10795000,10103000,96.25,41.4111256886903,0.52298259123917,0.47701740876083,1,7,"A"
110,8592970.46452261,7735351.98899222,10770000,10098000,95.0956595659566,43.9968215425104,0.522945613611732,0.477054386388268,2,2,"A"
111,8608942.98713693,7669555.90326589,10805000,9968000,96.25,40.380200789526,0.523900241120672,0.476099758879328,0,6,"A"
112,8661504.27137895,7677878.08609151,10870000,10008000,96.25,45.6497141044939,0.525924185463659,0.474075814536341,0,0,"A"
