"Strategy_A","Strategy_B","NPV_A","NPV_B","NPV_A_SD","NPV_B_SD","Total_NPV"
1,1,4319442.97147433,3931074.16443527,66568.7296039824,51219.2642568601,8250517.1359096
2,1,11767909.386407,1183970.48711291,87135.2436935355,49179.831704563,12951879.8735199
3,1,8210131.66755944,4465505.83076028,126602.528141145,30609.3851672698,12675637.4983197
4,1,5089146.68772932,5022208.220476,168076.450148988,32547.9523405994,10111354.9082053
1,2,1378503.7538009,9272225.05951143,53919.7015437665,54461.4628463683,10650728.8133123
2,2,8601197.44268303,7648776.29326367,140683.808606585,109945.390613709,16249973.7359467
3,2,3051319.7506004,9479815.96708061,112901.755522881,40513.0910406706,12531135.717681
4,2,1912069.80445074,9714860.6707391,134816.670337406,41320.5179105705,11626930.4751898
1,3,5419393.47393253,7183729.48605816,72924.338795591,105194.59559469,12603122.9599907
2,3,12098064.0264875,2284828.55748367,68829.0808339366,89183.3044754075,14382892.5839711
3,3,10722804.0275221,9483477.61002912,149436.723113143,92643.6476161026,20206281.6375513
4,3,7350510.18443415,11491726.847306,143121.147436799,72809.4029178949,18842237.0317402
1,4,6394481.7005781,3701453.01549631,60596.8401531848,149975.821933335,10095934.7160744
2,4,12592753.391589,785346.747128866,95990.7888537088,129833.238940819,13378100.1387179
3,4,14616506.472146,5841413.75776228,114584.947081198,159437.639686821,20457920.2299083
4,4,17822664.745314,15446133.7629167,252549.580509399,166457.948437045,33268798.5082307
