"shock_probability","mean_npv_A","mean_npv_B","sd_npv_A","sd_npv_B"
0,10762289.9582415,9504216.74101357,0,0
0.02,10761341.0695316,9495511.23834749,50617.9529240452,61703.1361593697
0.04,10743928.3040044,9480779.56537288,103786.026774458,83110.6872570352
0.06,10732438.7398664,9479843.8480781,140500.993444693,107601.190161208
0.08,10711836.6164109,9468740.7438391,155469.117065968,130834.702506821
0.1,10694423.8210462,9450736.25100764,201636.196576896,144800.468541835
0.12,10717144.1459575,9461820.85987884,171882.158631071,130406.99960214
0.14,10694002.2414192,9417900.48979803,193136.153753305,159990.722372392
0.16,10725723.268325,9442403.56491442,200419.740222165,137330.071850515
0.18,10719767.3171515,9417347.45912489,225309.988975776,157052.180195161
0.2,10691008.8414495,9433089.03589964,259646.049665608,164370.833969041
