"","S1_Sabit","S2_Sabit","S3_Sabit","S4_Sabit","Tit_for_Tat","Seasonal","Adaptive","Grim_Trigger","Forgiving_TfT","SatAware"
"S1_Sabit",4309891.73674318,1381342.80983689,5428968.73291143,6400576.21734895,1382287.59761929,1420596.93131158,1420902.18841841,1374790.28903247,1381268.53740732,1427204.62967945
"S2_Sabit",11788468.1174302,8653780.20533799,12100284.2794807,12592165.7803798,8430473.09993109,8412974.98371879,8456044.5148303,8428987.95779619,8738297.43371136,8439812.2539061
"S3_Sabit",8180607.51514838,3050830.35564043,10730563.9018356,14630598.5767291,10730003.5941786,10416854.6697438,10403319.2961715,10722835.0955716,10722651.3678315,10446118.3150574
"S4_Sabit",5110044.48119724,1920041.10904149,7348510.20563999,17845515.3063624,7330166.95504322,8887977.77139108,17379287.9759713,7337737.71649003,7365386.42272417,17458071.5825335
"Tit_for_Tat",11225603.4337151,8191368.62372495,10698814.0373608,14629510.4864296,10723699.3354332,8775904.94246807,8756576.46358122,10746901.5372828,10735401.0655656,8741497.02446654
"Seasonal",11104307.2903785,8136082.06030571,10590038.5392302,15820464.1316823,8441568.68706857,9155990.12581575,9200211.19777548,8432571.57241636,8775003.55982707,9411258.4480522
"Adaptive",11096441.7938982,8151531.87637907,10576547.7473846,16641191.1427332,8473804.2599296,9152458.48517959,9194693.79105382,8480811.54687105,8780203.77079302,9389365.18626134
"Grim_Trigger",11218183.5152729,8177566.27969152,10746825.2789529,14637081.8946716,10710908.188701,8752937.13895253,8771829.19316754,10750405.6728569,10749588.8921784,8754225.07542242
"Forgiving_TfT",11226275.9836876,7817846.66228169,10715887.0686051,14627265.3082115,10734077.7169154,10396412.5963243,10399525.7751286,10725431.7320278,10746995.042958,10459694.3870785
"SatAware",11096890.5096652,8148882.44295073,10582533.6628715,16506470.7179714,8450261.67618436,9207723.05144431,9235400.20250275,8460139.7532044,8782670.54609456,9373147.43623509
